RESTAURANT_ID,REVIEWS
Ftrk-Rx1i3okzxnQNuLcnw,"Great location close to Broad Street J train station. Also very comfortable booths to sit in, clean restrooms and friendly staff. The hot sandwich was...The staff here have serious attitude problems. Hey starbucks instead of adding a tip option you should probably just ya know pay your employees more so they...Service is on the slow side which can be overlooked if it weren't for the abundance of homeless people sleeping in all 4 of the booths."
6evDC62OwL1SewmR6ui6lw,"One of my favorite places to have bubble tea. 
Staff are nice and friendly. Highly recommendThe place is suitable to stay for small snack. The bubble tea was great. Tapioca balls were fragile. Popcorn chicken taste delicious. Had multiple flavours...No matter how many other popcorn chicken I try, I'm always coming back for Vivi's. Their popcorn chicken is just so juicy and tender, I feel like I have yet..."
mnXrPqOVbX_06D9OAo4dLA,"HANDS DOWN BEST KBQQ EVER- I had the pleasure of dining at ATTI during my first visit to Brooklyn, and it was truly a memorable experience. This hidden gem...About a 2-2.5: Atti is a KBBQ place that offers hansangs and a la carte meat options, apps, and sides.

We went for the Kalbi Hansang, which was described...While the decor is inviting and the food tasty, the service and management of this establishment are seriously lacking.

My friend and I were so looking..."
nfaS-7o4ZrVdsdqhZHnksQ,"I visited this place when they first opened and the service was great then and remained solid! I can appreciate that. 

The service was fast and they got my...I came here for a 6:15pm movie. The theater is a few flights up in the City Point Mall.

Alamo Drafthouse is known for the ""dinner and a movie"" experience...Alamo used to be my special fancy theater that I went to when I wanted to splurge on some cocktails while laughing my butt off or crying my eyes out. Then..."
_fTRTishY3G5dLPLYGCVAw,"I love Dimsum shumai here is very good 
Price is good too Service great I love this placeJust WOW! I have been twice & purposely tried very different dishes just to expand my palate...
Delicious, reasonably priced & friendly service, even though...The name is a bit misleading because they don't really sell alcohol here (I wouldn't order the wine, if they have it. It doesn't seem stored at the correct..."
MXYtu8-0eNkW6L4firJfcw,"Why are you going here if it isn't for AYCE sushi? I always go with a group and get this with friends, sometimes with the beer and sake add-on where you...I ordered Sautéed Chinese Broccoli Oysters sauce, Shredded Pork Garlic Sauce and Roasted Pork Tofu. In each picture, the left pic is what I saw from their...Decided to try a new place for Chinese food for lunch special. This place is 4 blocks further than wok 88 from me so I figured I'd see how good their..."
OEk1N8ItiakoSHYk1aqwLA,"Bodega with seats 

And I've gotta say, there's nothing wrong with that. Andy, the owner was a sweetheart who seemed to know the regulars pretty darn well...They don't care, they will give you rancid cat litter if you'll take and over charge you. DO NOT GO HERE IT IS NY AT ITS WORSTFavorite restaurant in Union Square area.  Tortas are bomb.  Roast beef torta is great, Chopped Cheese torta is amazing.  Staff is very nice.  Mexican music..."
dn8_HgoGUE4IFzwPI6GeLA,"Great food!!! Best dumplings highly recommend!!! Everything on the menu was great. Definitely give this place a visit, you wont regret it.The pan fried pork with chive dumplings is very good, hot and juicy with a hard crispy bottom. Spring rolls were fried to an oily crispy perfection.
The...One of the best affordable places to eat in NYC! Everything is under $10, the pan-fried dumplings are so crispy on the outside and juicy on the inside, and..."
-L_ArHSBcNlG5r0djuQ9Dw,"Really good and dependable Chinese food in the neighborhood. I love their spicy garlic wings cause they remind me of my favorite soy wings from this spot in...Love this place just moved my business in the areas and I love the food  they give a lot of food and very tasty fast delivery it's the best Chinese food in...This local Chinese food spot is pretty good. They're usually quick and have never messed up an order. Tonight I ordered the scallion pancakes, which were..."
5r5qJZ0bHvD9ucz9hVx3uA,"Grini's is one of my favorite Uptown eateries. It's Spanish cuisine hits the spot every time. My go to meal is the grilled chicken, yellow rice and black...We love Granny's Grill the food is always hot portions are generous the workers are always so inviting and the lunch specials have plenty of food to keep...Grinis Grill Restaurant  is Dominican food not Spanish. My mother is from Spain and Father is Dominican I have my fair knowledge of the difference. The food..."
cxBDRNIHTHg9X2xDuczPIg,"Food is good here  alot better then most fast food Chinese joints...

Sure glad its good i would hate to order from a place just cause its by me...

The...I have ordered from Kawah Chinese Restaurant on Valentine Ave about four times now, and I have to say that my overall experience has been fairly average....best French fries and chicken wings with Ketchup all over with alittle salt lol :) The restaurant is really small though. The lady is super nice and..."
qGA7hdPSuwXVkum548WEWA,"This place was very awesome. I loved the food and the robot cat that delivered the food to you. The food came very fast, and the staff was really nice. I...I liked the service, wine, and decor at Dimmer & Summer but want it to be known that this 4 star rating is based almost solely on how much I loved their...Having previously visited during a Yelp Elite event, I decided to return to Dimmer & Summer for some evening dim sum. As someone who grew up eating dim sum..."
xxgcU_oFIox_pAmroo9WwA,"Food: 4/5 | Service: 4.5/5 | Experience: 4/5

This corner restaurant is one of the few near the iconic Dumbo picture spot, serving up cheap yet tasty and...On our way back to the city from Dumbo I searched for a pizza joint close by to grab a slice to snack on. Surprisingly, most places closed what I would...Stumbled into this joint in Dumbo, Brooklyn, right amid the tourist hustle. The place, always bustling, felt like a frenzy, especially the bathroom queue,..."
wUp0XV7RPDcMvgfxpvrgfw,"First of all, I was shocked by the sheer number of ice cream flavors this place has. I also didn't realize they had soft serve! For ice cream flavors I...The ice cream is good. But my three year old daughter had one scoop and a waffle cone and it cost eleven dollars. Mine with two scoops in a cup was 12.

I...Found it to be a bit overpriced. Flavors are fun and rotating but we've seen most of these flavor combinations before. Very patient staff."
tQIC8V5c9vwaakcOSv62ig,"Good, quick, no frills bagel shop in the west village. 

Quick service and good bagels. My go-to order is a sausage egg and cheese on everything bagels...Asked for extra plain cream cheese on plain bagel. Received a veggie cream cheese (which was cream cheese and peppers?) bagel instead. When I told them I...I believe this was my first bagel experience I'm NYC and I wasn't disappointed.  Good cream cheese bagel that was standard affordable.   The muffin was good..."
