RESTAURANT_ID,REVIEWS
C6GOh4ebry81vuG_765VvA,"Stopped in for some cheesecake. The baked goods were delicious and the employees were screaming at each other. We felt like we were in Paris!Good place to sit

Cold in winter


Regular stuff 


Fresh and good

$15 for coffee croissant and one pastry  

Pricey.I personally think this is the best Paris Baguette branch in Manhattan. The deserts always taste fresh and there's way more variety.

Everything looked so..."
I6optu9x0JAf8oT5lqJ8qw,"Stopped in for some shareables after a play. The Mac and cheese balls were delicious. Everyone enjoyed them. The buffalo cauliflower wings were also a hit....Much of the food was good but the steak was cold and und we seasoned. The service was terrible though. The hostess and the manager were rude. The manager...Great vibe, unexpectedly delicious food.

Best chicken & waffles ever.

Crab cake Benedict was perfect.

Service was also on point. 

The music was terrible..."
bJUDGmgdiicJHTmPtblFRg,"I love this place nice and clean and close to my house plus it's kosher, their chicken shawarma is amazingIf you want to clearly read a menu and know what the food prices are, this place isn't for you.
Menu had prices and lunch specials listed and we were there...Very good food! I didn't order from this place for years because the way things were handled by the previous owner and the food quality at this venue. But..."
kGnJoYkzL-6aMrvwgYQXAg,"This is my local Chinese restaurant. I've been ordering here since 2006. Everyone knows who I am and they know what I usually get when I walk in. I miss...My usual place to get chicken wings and pork fried dumplings. The special dishes are good too.it looks like a hole in a roll,  but the food was delicious."
jNPYmziqQjIMP-1pOgSZdw,"I'd rate Kape't Torta four and a half stars.

We shared the ube cheese bun, the coconut bun, and a slice of the ube cake. My favorite was the ube cake....If you choose one thing to try, it's the ube pandesal.

I came to pick up an ube cake for my mom's birthday and decided to get additional pastries to try....So in-love with their ube cake! Must if you really want to get a good ube cake!
 
Location: It is located along Queens Boulevard. The store was typical..."
tSTJubZr6VEPwzfKW8dzaA,"Canto dishes were really good and authentic. Can't say much about service and ambiance, but the food was amazing. My family is visiting Brooklyn from SD, so...This place gets really really packed on the weekends - come early especially if you have a big party! You can either order dim sum from the ladies with the...I enjoyed my experience here at benson eating station. Decor is extremely old and I feel like I traveled to the 90s eating here. It is very loud and you..."
0cQcKV7eCOhw7OnflOzr9w,"I got the Tripe Hot Pot Noodles, and it was similarly as good - it might be the same broth as the beef noodle soup? It was definitely spicy. Plenty of Tripe...The pickled chili and sliced beef noodle was so good! All the components came together beautifully while tasting distinctive: the napa cabbage that soaked...If you're craving noodles, Zhong Zhong is your place to go! They have three locations including a new location in Brooklyn, and specialize in a variety of..."
YqXl2aa7XCaP3VgXkU9x-g,"Loveeeee this place for brunch! Cozy little spot. Small dining area so best to go with a small group but we didn't have to wait for a table for a party of...The food was made to order- you can see it being cooked and smell the freshness from the griddle. The food had high quality ingredients and I could tell...Small place.
Yummy food.
Pancakes
Beef roti
Love the spicy fries and sweet potato fries . 
Wish they could do a half spicy fries and half sweet fries.
Love..."
NEdlYLKcnFX5KcpHce8ldA,"Hidden gem of a poke spot. It's my go to for lunch at least once a week! Ingredients are fresh and the people are very friendly.Poke Zone = fast delivery,  perfect for quick last minute poke. Last night, I was looking for fast affordable poke bowls. Many restaurants were closed....I was craving poke and was famished so I randomly picked POKE Zone on Uber Eats bec it was rated as fast delivery. So glad I did. I ordered one bowl for..."
DUGAWtm82qxK_Z8C_CdrHg,"Fresh ingredients, wonderful flavors and great bang for your buck!

I got the duck vermicelli and my only regret was I was too full to finish all of it. I...Their crab and pork soup dumplings are very good. Really kind of wonderful  to get these at the New World Mall food court.This is my go to in Flushing. One of my favorite duck noodle soup in nyc including the fried dumplings. Don't forget to add the chillies if you like spicy."
