RESTAURANT_ID,REVIEWS
0zxGc7hit7mFSk2o1PvIdQ,"I came with a party of 9 on a Saturday for a birthday dinner, there were 2 or 3 other tables in the restaurant but the waiter was slow to greet us and take...Not quite the Little Italy experience I was hoping for! We walked in around mid afternoon on a Friday, and it was empty inside (although most restaurants on...The meatballs were superb. The service was impeccable and very attentive. I would suggest I come here as you will agree. Free bread is included"
GkxvCwfCFaFY4UDvAkZ8dQ,"I went to Dallas BBQ a couple of times and food here tastes really good. Food here never upsets. I got chicken wings, yellow rice, and cole slaw the last...This place is absolutely disgusting and the staff working here are just as nasty. We came here on a late night. The place was dirty. Floor and tables. I was...I love this place and love their sticky wings and oversized drinks.

My boyfriend said I looked happier than a hog rolling in the mud lol"
pfmAcS-g6SiNG0KlLvrqnA,"Gerardo, the manager at Eastex and Beauty in Williamsburg, emerged as our hero during our Christmas dinner. Despite a rushed experience and an unfortunate...Went with my husband for my birthday and we were the very first reservation. Opening the door, to the establishment, you enter a pawn shop with an array of...Came here for my birthday dinner and unfortunately the restaurant failed on multiple levels. I was here in 2014 and had a great experience, but fast forward..."
nsAU6F2vmdnphmfIa_RuWg,"I've been eyeing this place for years, so glad I finally gave it a shot! Love the ambiance and the food. As a native Texan, I gravitate towards places like...I was disappointed in the food. I had high hopes for this place, since I saw it had good reviews, but it didn't meet my expectations. I was able to get a...Pro tip: Check in offer here for Free Mac & cheese and the mac is perfect 

Stopped in without a reservation on Saturday night and was able to sit without..."
1fVp9c5Vw04ig171a_juRw,"Always reliable. Hot and sour soup is my barometer for a Chinese restaurant- if that's good, everything is probably good. Theirs is just right. 

Staff is...Chinese food was ok. I basically had chicken fried rice and wings that I did not finish.  I was in the area for work and that was one of the few places...I've eaten from here 100000 times. The food is always good and the lady at the front is always pleasant. Unfortunately last night I found a dead roach in my..."
6kJxh1RCQykTHxWor538dA,"I ordered the Broccoli with Shrimp Lunch Special for $7.25 plus tax which totals to $7.90.  It comes with a choice of rice (fried/brown/white) and a choice...I ordered here for lunch the other day. I got chicken wings and vegetable lo mein and steamed pork dumplings. 

The food came pretty fast and it was well...Not sure why people even try with this place when Chinatown is literally a 20 minute train ride and has better options than this place..... at least you..."
eQdjZQaLnjItmn9suEEeIA,"Great restaurant.   
Look forward to going again
Bronx rocks
Going there for many many years from courthouse events to personalI used to frequent this place regularly, and it's regrettable that I have to leave such a review. However, there's no denying that this establishment has...Everything is amazing, food, service is beyond exceptional! Love it here 
My recommendation is the Money bags so delicious"
OeIZ028BfyQBiGGEokOiSg,"Best spot in riverdale pizzas I've never seen before and I've been everywhere in Bronx and westchester . Service is always helpful and always leave with a smileLove seeing such a classic, great-tasting pizza shop in the neighborhood, this is what the Bronx is about. Great people, great food, great environment. I...I love this place, I was pleased with the food like always. I love their chicken parm it's one of my favorites. Every time I order from here I always enjoy..."
XuberRcn8B3DhPXTLzab8Q,"Always a good time, the energy of the chef was a plus and the food and service is always on point. If your ever In Sheepshead stop in and check them out.For a pre-birthday dinner, I tried something new. Not too new, but something I have not had since before the pandemic, Hibachi. 

My initial plan was to...So nice and amazing here. 
Came on a Saturday night at 9:30pm with no reservations and was able to get seating in the hibachi area!!! I just searched up a..."
r9v4l-6izBRmDfHSOr1u8w,"I love latin food but I dislike sweet plantains. This is the first place that let me swap the sweet plantains with an avocado. Their chicharron are not dry...My first time in this restaurant was horrible. I went in after a long day and after we ordered the meat it was hard,cold you couldn't even cut it or eat it....I came to this place to eat and the food is delicious and on weekends this place turns into a bar that goes to the next level with Latin musics and good..."
26E3j9l0XW_onVIUP-ThCw,"Heidi's House is a cozy little restaurant on the UES. The food is great and the service is impeccable.

I was impressed by the service at Heidi's, the...This place is really cool I came here for a private party and had exceptional service.  I would definitely come back to grab a drink at this bar.  

The...This is a cozy intimate restaurant/ bar on the UES. We came here on a weekday night and it was packed. I got the paella. The scallop and the shrimp were..."
LHxZgTddXIp_S1sL3nNG9w,"I am very fond of this place for five reasons.  
1.  It's convenient to GCT so a short hop to the train and midtown.  
2.  The food is consistently good....Dropped by for a few beers and a quick bite with my mate, and thoroughly enjoyed ice cold Beer Hug Hazy IPA ($10) - a little on the expensive side of...We came here unexpectedly for brunch for two during Christmas Eve when plans at another place fell through. They had a very heated enclosed outdoor space..."
uxLzUC9QxbxyCCau32cf0A,"Truth be told I forgot about Joe's for a while, but I really enjoy Joe's, they make a good quality pie. The Primavera is one of my absolute favorites and a...Ordered for delivery. Came an hour later, didn't order during a busy time of the day either. Sicialian pie was not well done like asked, in fact it wasn't...Too Expensive, Manager/Owner is rude and entitled. Much better pizza just a block away. Quality used to mean something at this once great pizzeria, As a..."
LzyDj8z2CA03Jrs34L9Pgw,"Love their chicken lettuce wraps and their pad thai. This is my order almost every time. Overall though, there isn't one thing I've had that wasn't delicious.My family and I recently dined at Spice, and it was a bit of a mixed bag for me. I ordered the drunken noodles, and while the flavors were on point, I found...wife and I stopped by there since it was raining and we didn't want to walk to far, wow was that a mistake of a life time. We ordered a pad Thai, curry dish..."
FeSynfcDT4qB2kDixHUQCA,"Excellent food, ambience and service. Consistent over the years. Mix of traditional and modern.Wow! 

-Yellowtail sashimi: classic and satisfying 7/10
-Pork belly: 10/10 MUST ORDER. Was perfectly cooked
-Kimchi fried rice: 8/10 the egg was perfectly...Danji is a very quant, intimate spot for Korean food. I enjoyed the fried tofu and bibimbap without meat. I like that they feature which dishes can be..."
pCATo1CMq7MGQFx5pddDxg,"The food is amazing its not salty it's just season perfectly you will not be disappointed everything here is excellentI really don't like to write  bad reviews especially during this covid 19 pandemic when the restaurant and bars owners  are doing bad in revenue due to...I think they have good fried chicken and good potato salad. 
The women that work there are not that welcoming. Everytime I travel to that location I leaving..."
5kHNyJABl521cgtAzj9_dw,"Came here on a Friday night with family. The bar was was busy with great music playing. We placed our orders and my daughter who has celiacs disease asked...Jesus Christ did this place go down hill quick.  $35 for a barely edible pizza, and they really skimp on toppings.  No thanks!

Sure - the dining area was...This is a bad name for a restaurant that was not good.  Went there with my sister for $12 luncheon special.  Special comes with soda or water.  You get a..."
iHltNVtPVmnD4DvW_9mB5Q,"For delivery and pick up if you have something specific they never add it to the bag, time for a breakThis place is trash. Don't eat here. Only gave them one star so I can leave a review. They're getting all bougie now they don't deliver to Gates Avenue....Estos chinos cocinan bueno.  I don't order from any other Chinese food rest. In the area. Love the shrimp brócoli with  garlic sauce and with pork fried"
