RESTAURANT_ID,REVIEWS
LG9gS6YnT5NwootBWp7gPA,"The Morris Park Bake Shop is simply ""Classic"" .  A family run bakery, where I have been shopping for decades ! It is where I always order my delicious...The chocolate cannolis are terrible and hard as a rock. I expected better. The young lady that took my order was not very welcoming which is a shame. The...Stopped by today.  Really nice assortment of pastries.  Old charming place that my research shows was once a German establishment.  I love old world..."
AMxMPBkWi20dn_1BRalahA,The breakfast baconator w/ a sausage patty! Not to big as advertised. Could be better on a croissant or biscuit and not a bun ! But i would get againIf I can give this place no stars I absolutely would. The workers here are in efficient.  They do not work the best possible way. They cause the wait to be...Bacon Cheeseburger is the reason this will be my first and last visit to this particular Wendy's. It tastes like crap and made me absolutely lose my...
oo77ZO5cj9M2NRdTqEgHvQ,"We were looking for an Irish pub in the Hell's Kitchen/ Columbus Circle area and stopped in for a drink. Dennis was a superb host, the drinks were spot on...Nice local place with good food and people.  Kind of pricey but everything is now. I recommend trying it.Found this spot on Yelp. Just needed a quick beer and burger to watch the World Cup. Meal was good, and they carried Carlsberg on tap from Copenhagen, which..."
Pe6MsH2DW0CXjvUtxUpI4A,"Iabsolutely not...i used to go into this business years ago...i retired and moved..when i ordered over the phone...i ordered corned beef , 2 lbs...nothing...I live in the neighborhood and this is the only deli in walking distance of my house. The food is all very delicious and I've been coming here since I was...I stopped by for a quick bite after a long day. They were busy, and clearly had a few items that some folks liked. I tried a couple rice balls -- the price..."
Q18r5FKi2qkQhtKZqWR8ww,"We've ordered from these folks a number of times on Grubhub and have always been extremely satisfied. We've never been to the actual store but I have called...giving two stars just because the ice cream is amazing... the inside needs to be remodeled.. the customer service is beyond disgusting.. even the manager is...This place reminds me of my childhood.  I love the flavors.  They specialize in flavors unique to the Caribbean - including sour sop and guava.  

The..."
t2eaCKKC0_d3z6A9g4SAEw,"Great place good was good fresh feels like a old school Italian deli. Glad to see places like this are still around. Affordable prices. I would rather come...Best breakfast spot in town the famous ham and eggs are out of this home made blueberry muffins amazing 
Fresh rolls heros and bagels amazing service as wellI used to frequent this deli all the time when I worked nearby and it's one of my favorite delis. They're open very early and close early but the hours are..."
S8i04Lq3yTkvusJlgiAhEw,"I've been in the neighborhood for 17 year and this business is great and the food is on par. Thank you CHU FAMILY!!Best breakfast sandwiches. The Sausage, egg and cheese is not to be played with!!! The family that owns the deli is so kind. Go here!Whoever here said that they were nice people is greatly mistaken. I went in because Mrs. Chu made an appointment to see me regarding a business matter. I..."
CowisEVeVb4H3go-zKBZVg,"I've only ever gotten the nachos and they're regular movie theater nachos aka just what you expect in a good way. 
Service is friendly upstairs. 
Ambiance...Great snacks, great movies, a neighborhood institution. Book tickets in advance for weekend showings'Back in the 1990s-2000s, I spent many nights and weekends catching the latest independent films here.  I was in town recently and have been looking to catch..."
vrccemlXVyVTlV6Zz_SKxw,"Was visiting family in NY and when it came down to dinner time, we decided we wanted Chinese food. My family doesn't live in Corona anymore, but they have...Got back from vacation craving chinese food, my sister and I ordered almost everything on the menu lol. Beef and broc witj beef fried rice, special house lo...Taste good but it not the order I order wow shame of ya smh I order chicken teriyaki with  pork fried rice and this not it wow smh Covid season wow not..."
CKZAuCQePLv6OjDyrmqy-A,"The bagels here are really good and worth what you pay for. They get very busy, so we usually order on their website and it's ready when we get there. The...Came here a few weeks ago and everyone was kind and food was delicious. What really makes me love this business is that when a homeless man asked for an...Best business ever. These people really have hearts of gold.... and of course make incredibly delicious meals. Just thought I'd give a shout out where..."
